Sat0_x,Sat1_x,Sat2_x,Sat3_x,Sat0_y,Sat1_y,Sat2_y,Sat3_y
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
10099.995000041667,9998.000033333166,9700.014999875,10003.999933333667,10000.999983333417,10199.990000083333,9997.00004999975,9600.019999833334
10099.980000666657,9996.000266661333,9700.059998000026,10007.999466677333,10001.999866669334,10199.960001333315,9994.000399992,9600.079997333369
10099.955003374898,9994.000899959501,9700.134989875303,10011.998200080998,10002.99955002025,10199.910006749797,9991.001349939252,9600.179986500405
10099.920010666097,9992.002133162674,9700.239968001706,10015.995733674654,10003.998933418663,10199.840021332195,9988.00319974401,9600.319957335609
10099.875026039497,9990.004166145864,9700.37492188151,10019.991667708271,10004.997916927068,10199.750052078993,9985.006249218797,9600.499895842013
10099.82005399352,9988.007198704112,9700.539838019438,10023.985602591778,10005.996400647944,10199.640107987041,9982.010798056166,9600.719784025918
10099.755100025328,9986.011430532493,9700.734699924016,10027.977138935013,10006.994284733753,10199.510200050656,9979.01714579874,9600.979599898688
10099.680170630261,9984.017061206165,9700.959488109214,10031.965877587669,10007.991469396917,10199.360341260524,9976.025591809248,9601.279317478953
10099.5952733012,9982.024290160398,9701.214180096402,10035.951419679204,10008.987854919802,10199.190546602398,9973.036435240596,9601.618906795202
10099.500416527802,9980.033316670635,9701.498750416593,10039.933366658732,10009.983341664683,10199.000833055605,9970.049975005952,9601.99833388879
10099.395609795669,9978.044339832564,9701.813170612992,10043.91132033487,10010.977830083717,10198.79121959134,9967.066509748847,9602.417560817321
10099.280863585387,9976.057558542216,9702.15740924384,10047.884882915569,10011.971220728892,10198.561727170772,9964.086337813324,9602.876545658453
10099.156189371479,9974.07317147606,9702.531431885564,10051.853657047877,10012.963414261969,10198.312378742958,9961.109757214092,9603.375242514085
10099.021599621265,9972.091377071152,9702.93520113621,10055.817245857694,10013.954311464424,10198.043199242527,9958.137065606728,9603.913601514945
10098.877107793603,9970.11237350528,9703.368676619188,10059.77525298944,10014.94381324736,10197.754215587209,9955.16856025792,9604.491568825582
10098.722728337563,9968.136358677151,9703.831814987312,10063.7272826457,10015.931820661424,10197.445456675125,9952.204538015727,9605.109086649749
10098.558476690956,9966.1635301866,9704.324569927132,10067.672939626798,10016.9182349067,10197.116953381912,9949.245295279901,9605.766093236176
10098.384369278812,9964.194085314835,9704.846892163563,10071.61182937033,10017.902957342583,10196.768738557625,9946.291127972252,9606.46252288475
10098.200423511727,9962.2282210047,9705.39872946482,10075.5435579906,10018.88588949765,10196.400847023455,9943.34233150705,9607.198305953092
10098.006657784124,9960.266133840987,9705.980026647627,10079.467732318024,10019.866933079506,10196.013315568249,9940.399200761482,9607.973368863504
10097.803091472415,9958.30802003078,9706.590725582755,10083.38395993844,10020.84598998461,10195.60618294483,9937.46203004617,9608.78763411034
10097.58974493306,9956.354075383826,9707.230765200818,10087.291849232348,10021.822962308086,10195.179489866121,9934.53111307574,9609.641020267758
10097.366639500537,9954.404495292962,9707.900081498388,10091.191009414075,10022.79775235352,10194.733279001075,9931.606742939444,9610.53344199785
10097.133797485203,9952.459474714573,9708.59860754439,10095.081050570854,10023.770262642713,10194.267594970406,9928.68921207186,9611.464810059188
10096.891242171065,9950.519208149095,9709.326273486806,10098.96158370181,10024.740395925452,10193.78248434213,9925.778812223643,9612.435031315743
10096.638997813452,9948.583889621568,9710.083006559646,10102.832220756862,10025.708055189216,10193.277995626902,9922.875834432354,9613.444008746195
10096.37708963659,9946.653712662233,9710.868731090233,10106.692574675531,10026.673143668882,10192.754179273177,9919.980568993351,9614.491641453644
10096.105543831078,9944.728870287177,9711.683368506769,10110.542259425645,10027.635564856411,10192.211087662154,9917.093305430766,9615.57782467569
10095.824387551269,9942.809554979032,9712.526837346191,10114.380890041934,10028.595222510483,10191.64877510254,9914.21433246855,9616.70244979492
10095.53364891256,9940.895958667732,9713.399053262317,10118.208082664536,10029.552020666133,10191.06729782512,9911.343938001599,9617.865404349757
10095.23335698857,9938.98827271131,9714.299929034287,10122.023454577376,10030.505863644345,10190.466713977143,9908.482409066966,9619.066572045715
10094.923541808244,9937.086687876776,9715.229374575269,10125.826624246447,10031.456656061611,10189.847083616489,9905.630031815164,9620.305832767024
10094.604234352839,9935.191394321026,9716.187296941484,10129.617211357947,10032.404302839486,10189.208468705678,9902.78709148154,9621.583062588645
10094.275466552835,9933.302581571837,9717.173600341495,10133.394836856325,10033.348709214082,10188.55093310567,9899.953872357755,9622.898133788662
10093.937271284738,9931.42043850891,9718.188186145786,10137.15912298218,10034.289780745545,10187.874542569476,9897.130657763364,9624.250914861048
10093.589682367794,9929.545153344981,9719.23095289662,10140.909693310035,10035.22742332751,10187.179364735586,9894.317730017474,9625.641270528826
10093.232734560603,9927.676913607007,9720.30179631819,10144.646172785984,10036.161543196496,10186.465469121207,9891.51537041051,9627.069061757586
10092.866463557652,9925.815906117403,9721.400609327047,10148.368187765192,10037.092046941298,10185.732927115301,9888.723859176105,9628.534145769396
10092.490905985731,9923.962316975369,9722.527282042805,10152.075366049265,10038.018841512316,10184.981811971462,9885.943475463051,9630.036376057074
10092.10609940029,9922.11633153827,9723.681701799134,10155.76733692346,10038.941834230865,10184.212198800577,9883.174497307406,9631.575602398845
10091.712082281661,9920.278134403115,9724.86375315502,10159.443731193769,10039.860932798443,10183.424164563321,9880.417201604672,9633.151670873358
10091.30889403123,9918.447909388085,9726.073317906308,10163.104181223827,10040.776045305956,10182.617788062462,9877.67186408213,9634.764423875076
10090.896574967488,9916.625839514158,9727.310275097534,10166.748320971685,10041.68708024292,10181.793149934976,9874.938759271237,9636.413700130046
10090.475166321996,9914.8121069868,9728.57450103401,10170.3757860264,10042.5939465066,10180.950332643994,9872.2181604802,9638.099334712015
10090.044710235268,9913.006893177753,9729.865869294197,10173.986213644492,10043.496553411123,10180.089420470535,9869.510339766632,9639.821159058929
10089.605249752552,9911.210378606896,9731.184250742343,10177.579242786207,10044.394810696553,10179.210499505105,9866.815567910344,9641.57900098979
10089.156828819532,9909.422742924186,9732.529513541402,10181.154514151627,10045.288628537906,10178.313657639066,9864.13411438628,9643.372684721868
10088.699492277929,9907.644164891703,9733.901523166214,10184.711670216593,10046.177917554149,10177.398984555857,9861.466247337556,9645.202030888286
10088.233285861012,9905.874822365768,9735.300142416963,10188.250355268463,10047.062588817116,10176.466571722025,9858.812233548653,9647.066856555952
10087.758256189038,9904.11489227916,9736.725231432889,10191.770215441682,10047.942553860421,10175.516512378075,9856.172338418739,9648.966975243851
10087.274450764575,9902.364550623419,9738.176647706274,10195.270898753162,10048.817724688291,10174.54890152915,9853.546825935127,9650.902196941699
