P_sat0,P_sat1,P_sat2,P_sat3,Phi_sat0,Phi_sat1,Phi_sat2,Phi_sat3
14028.687766084158,13949.827829918439,13621.002301959516,13856.156144366427,18985.5742219055,21981.39493907769,22667.61750019931,18728.975834903667
14014.378177560462,13943.52729571754,13615.668934398433,13875.720352842904,19069.946397448766,21959.00659650981,22605.35196617078,18792.32366593308
14023.809061032027,13950.678702926984,13621.862330472013,13876.373099201543,19019.89632638952,21954.614649708616,22672.251703115147,18920.56800038588
14019.177803362229,13946.08876321304,13614.647242807625,13888.824286662717,19005.863398315338,21957.409369908437,22630.215067573852,18936.49482916626
14013.902725495758,13926.475373696752,13605.736799377073,13883.483978163797,19038.171390581843,22129.42117514351,22635.702306396335,18847.099397184258
13991.686357039904,13908.167252663161,13604.29284041009,13863.824873024252,18949.939489317236,21904.04924162811,22688.346597342414,18824.72415543968
13987.666301177589,13917.45122668988,13587.103151693727,13876.716253765919,18919.103655312298,21989.187414664746,22554.028361132343,18880.63089577577
13970.328338596906,13911.421932913909,13575.107330116572,13878.454453012153,18962.98619436301,21844.86067159278,22621.31049276744,18821.35004485859
13969.768396287818,13898.76408781867,13559.971009988392,13866.752107076769,18996.279590632297,21902.523387757334,22613.743997091267,18829.24285304898
13976.880929850562,13888.245575834699,13588.64324696269,13849.851386757091,18970.06204994619,21881.381695792934,22481.79371846388,18915.920174095554
13992.922551856727,13918.905313643498,13592.231725008758,13882.300859202167,18991.6661131926,21871.45888491686,22633.42356388992,18764.799356591662
13965.051159418901,13849.552015631643,13560.743623524237,13841.257632551353,19038.725452921877,21933.358048963695,22581.387316051303,18886.36604555459
13952.821526488771,13849.680425580218,13563.960686848544,13841.186331676021,19021.459768231587,21859.160234245483,22543.678477945872,18880.018713309597
13958.244704233406,13860.45663982477,13537.913797571886,13860.612940757925,18957.9119419345,21855.68321686131,22506.961662095713,18809.988362698812
13965.947742266038,13862.75744821034,13567.02094429543,13847.685449689383,18967.442857895596,21829.361217763177,22589.231205992237,18849.814722549476
13954.937148788085,13865.677069648456,13547.778865043847,13879.848397118738,18910.433426304357,21925.535666827378,22590.174056113912,18916.74388019061
13959.059452829208,13857.168386406498,13563.891528800199,13879.16049667108,18986.729146959693,21903.96259772707,22622.96039214415,18878.130280467405
13944.112868311324,13842.40603780627,13568.673227312325,13865.018248082199,18921.35582881164,21845.64644619474,22559.264757454595,18853.72459582168
13956.83451190506,13842.129473844365,13560.674598193651,13878.137805435557,18903.03445394182,21818.82950481194,22580.360486913556,18795.318613531184
13942.070088492514,13831.778822072043,13516.678210423566,13858.656562819262,18908.954760929384,21853.58949759542,22572.522397347402,18871.718753717287
13939.830174597995,13825.893902456246,13534.026147394101,13850.55603658695,18824.79673183338,21783.923214958155,22612.123656982636,18829.64275532382
13905.178675949193,13819.83150723351,13522.780538249077,13851.462037278327,18915.02170825369,21909.72332879143,22452.359424231297,18863.17804195561
13926.464722493596,13808.11818862929,13514.089727242454,13855.187211339959,18928.39533208296,21756.759914917846,22509.97471130175,18832.533074267212
13898.246209909732,13798.542183233982,13512.879322746938,13837.662343202117,18958.580561316274,21820.47724039524,22514.953988178706,18749.826414648145
13909.983702738218,13789.246558391165,13499.388301036213,13838.177677475005,18845.306073820135,21743.734583739857,22583.22619745998,18867.81349074596
13891.49745295614,13797.532106442697,13503.513242604164,13850.961186415545,18953.722597264623,21774.782860046707,22539.08693854641,18787.2105756357
13880.222558529867,13782.605165872848,13476.155487924874,13849.62417091637,18975.256773304493,21761.303462023778,22458.714249419932,18775.588296565005
13889.6241251743,13779.416351818769,13497.216911893687,13841.979285014195,18868.361697168446,21822.373002171138,22515.392587793027,18813.65892071639
13883.77848567945,13749.977037429151,13478.531615559,13848.753635764682,18904.180258510612,21730.814117790684,22533.595713967326,18863.13537563477
13883.741900416893,13742.686697794607,13484.78510517371,13854.950709336117,18885.506698529447,21762.54617429256,22506.023175772065,18833.787383851104
13874.93801267832,13727.721857980134,13477.772458032676,13832.547635754137,18918.45031363314,21743.293944739096,22429.51056101812,18886.453157965425
13858.430866576738,13713.79198261728,13430.834607741928,13819.66768010107,18897.568531020752,21590.771986881784,22413.734162603534,18818.33681480108
13848.842970516014,13730.389237751475,13447.67837021502,13819.158453343985,18811.540182784513,21634.419404555858,22452.095128368655,18782.028862938565
13838.863714988516,13702.196365128551,13441.247703179686,13817.52877344548,18852.728707806138,21704.846989453352,22506.678795693588,18922.338121167904
13814.202149256995,13684.801773551326,13435.348322051585,13806.826129430987,18892.758552685023,21663.168882087804,22458.566236874445,18852.02708668441
13789.09724996495,13692.515502994389,13425.783929056295,13793.517837337646,18749.5904524507,21607.509744509618,22403.778889033667,18887.14153288045
13793.240695037468,13658.625506900493,13406.087328697746,13769.860339358735,18637.248179054022,21653.611202376156,22366.18555104424,18820.019099185305
13802.054507356897,13665.566449246668,13433.505200545558,13820.860156231562,18815.465686000756,21688.179521142833,22480.029770618632,18870.880246759356
13830.153873957237,13679.155297128802,13452.649159136152,13823.105568645473,18799.317931565372,21634.875805717475,22460.34711317827,18880.078578080705
13837.227835693659,13662.182714075892,13429.02329280404,13822.524704778534,18822.88690396515,21751.24973020514,22455.373312891712,18864.044851237846
13821.299808434593,13682.791310443396,13438.393007318344,13854.63881231651,18814.04884235401,21681.93219593046,22501.78890461801,18778.326799782473
13824.795462119842,13667.846869594483,13432.322755539974,13845.246382056748,18844.817084683757,21665.057374580745,22386.69381772105,18870.25215958176
13831.133239950084,13668.790718167844,13434.058229101984,13834.448473191262,18879.35567973478,21669.0800042419,22491.630748393814,18839.971991796516
13837.169679019255,13672.536920678625,13428.684967571155,13870.626279109269,18855.38738891546,21607.946731069078,22473.66582301682,18825.71934393053
13790.99028473928,13655.773093197005,13426.63896800155,13831.31165974407,18767.603229355977,21585.23628406325,22436.054509077014,18804.942274755915
13792.416695741163,13641.599307275414,13403.365140105096,13805.873217015704,18787.902410441253,21610.13341003966,22460.107944108713,18908.331331481757
13785.505754952417,13620.221870993983,13382.602002422835,13800.104360421386,18788.25118103389,21736.78260895665,22454.86218728473,18831.380110357666
13753.536554496834,13614.631631230404,13385.672447900202,13788.083261163865,18787.183892284327,21527.64521629863,22435.52406585954,18825.07160221592
13764.975692792541,13605.727194459598,13390.003740046921,13816.481796505932,18789.91821523895,21559.317913469735,22339.87823143511,18888.46742452636
13773.263955410044,13608.731762116524,13392.232598181556,13832.438071671948,18779.85892742718,21595.930956773034,22304.867057962514,18845.206219352385
13766.559846559014,13600.885634041115,13393.034628517164,13812.878427803154,18711.19501660728,21632.022316551847,22476.64160086902,18851.114491272496
13717.820650674827,13578.280535635691,13354.477277703396,13789.52698875699,18682.26088824289,21544.61639192565,22323.92924415061,18840.76181295937
13758.772580420491,13578.063057222087,13382.32523609514,13793.055091207132,18768.433839379708,21601.66686813977,22414.11259808394,18804.980588534494
13745.36538575836,13574.713687658737,13382.398122843731,13829.96904863422,18740.845385244036,21610.743089014955,22485.004134223134,18824.080755242976
13750.33165720969,13608.336794586436,13375.212130217298,13819.055874140931,18694.83486839842,21529.67750845453,22381.32499862038,18842.880302317404
13756.74723895457,13588.221080673662,13411.718601645105,13821.347708445279,18727.60475242479,21507.707728930352,22311.37840064759,18860.893172097196
13795.48890980288,13606.786952512122,13406.907177884346,13838.500233043163,18789.043238657254,21579.270531668924,22523.565900733145,18924.379549865556
13750.25321360539,13596.041612169394,13393.91502966778,13845.302305832469,18828.92125422039,21538.598512706783,22407.404968979175,18874.69388190208
13792.127714208827,13597.958209013532,13387.61722443798,13858.198403381904,18760.62864333553,21645.95490443951,22368.566485096504,18871.25702229581
13747.92308641432,13573.644785123875,13409.824091025774,13842.285006150354,18868.665095405617,21563.637250566022,22349.46224751766,18811.4955604623
13761.705673452643,13592.937999438118,13372.936618075455,13851.134002425719,18755.63648348067,21538.183435448398,22466.221484553455,18814.296808244486
13751.049206511252,13577.98002150698,13378.484200834715,13838.918126609755,18864.88889812296,21564.958295543503,22508.506219118208,18902.510200820238
13776.074391233667,13597.215209885067,13413.012336464453,13865.43829546675,18726.922255008445,21669.273831116585,22354.999072604456,18844.561778829182
13722.380105939432,13536.437929325119,13382.852437236475,13824.845874765386,18769.02084827195,21533.481969863857,22396.54438638346,18843.418438511635
13726.912494987684,13555.449433954833,13373.663263690203,13835.093713117556,18643.96313985918,21550.0383130335,22358.11790172647,18776.436949802875
13746.732892379392,13543.411642496272,13385.784588411118,13831.935168986058,18707.855957458676,21493.945320116163,22350.925535611164,18887.849768489854
13744.793042823541,13540.355169780063,13382.548977240891,13853.576308641987,18795.647591724577,21571.663796896857,22405.322422338442,18869.125598502782
13714.368588233478,13536.573589516316,13392.92944560466,13846.176641293252,18615.856170229566,21582.970042286463,22348.565797268842,18884.115487821946
13720.41129213777,13533.080724580655,13376.54759012581,13841.979143330946,18690.807603211637,21496.02756905836,22275.581672553995,18832.72347563837
13694.521793746757,13519.69761338765,13383.302439581827,13845.772164833197,18767.175402765726,21596.342334214834,22352.705014854804,18832.342387185156
13683.601294069374,13514.021589954145,13355.64624345965,13819.131986783023,18655.646210569514,21526.01041785133,22358.78347391533,18779.725387021797
13684.51492780086,13495.253326034692,13337.737642587661,13818.63343597928,18671.077037231535,21534.390652282807,22334.394604230933,18783.72160858269
13684.71484881995,13493.728319496164,13349.012540561853,13827.412183893779,18707.423681782107,21467.413870367047,22387.350443584925,18841.692179572456
13675.125227587248,13475.762727485298,13365.683073761234,13829.999563072208,18734.33389361477,21375.87109520617,22326.996676254923,18866.40744550324
13692.211591065134,13484.27969704445,13334.04410674178,13829.295818482922,18531.74654828437,21561.47710161419,22340.866886563785,18802.720362689677
13681.210106525728,13480.659883340108,13363.430085027865,13839.129191941143,18662.143591161956,21487.560580238096,22408.257841843675,18845.849539722312
13681.21655443215,13479.097182309946,13359.118288834936,13831.81430409001,18679.835121442404,21454.97564161773,22308.353096492974,18822.24040656917
13676.86984954701,13476.543212121927,13344.393606648588,13816.613421411024,18661.128312507622,21411.739955294823,22350.421079968364,18731.06971538507
13684.73056322598,13452.11196252891,13320.467613357068,13809.1241517305,18670.16377499027,21408.478184213676,22352.928400344845,18830.891183031385
13663.929066746803,13463.597199682736,13337.776817771233,13816.35765183109,18644.900997593355,21432.038417746422,22315.171211678247,18811.44194387285
13651.675028630003,13447.50149104652,13353.64305091313,13816.797333142844,18673.630889014094,21431.44477156338,22392.19751207463,18891.36483728511
13662.719035213362,13455.352545870735,13352.015007161515,13835.793105443996,18768.689248410705,21503.36998611713,22283.58305250359,18871.821778748596
13665.1131877413,13452.499113555617,13349.405962328663,13843.170957134074,18684.854783568124,21435.00212557858,22413.322507426612,18883.828199874224
13642.47088294885,13461.47144779559,13348.350632778189,13830.373015314995,18681.4852115299,21531.85233862582,22419.386028867113,18822.20112290415
13640.456926185956,13456.093483481787,13355.66509001804,13830.626279223998,18576.507169026107,21449.961478214558,22364.558449318865,18821.880099634134
13622.425620546534,13410.314025184314,13337.261289167383,13848.26765245472,18635.429302454428,21449.284791809372,22373.80738715947,18762.30087661226
13660.334461409731,13466.924344491757,13356.066928121281,13847.61695947576,18670.914989417484,21512.092889090603,22345.62139600505,18855.724394567766
13629.277276680621,13417.644314334599,13343.89649763684,13818.34934466675,18725.47334807913,21447.89158716304,22288.75753620556,18876.87589885073
13633.930634415732,13437.577659577755,13353.467285598199,13822.854655915493,18619.941796686493,21451.040510125724,22243.01791501602,18861.118557761347
13636.58067155421,13406.080416451881,13318.428175281393,13824.182354085347,18710.50824784116,21396.139025232475,22362.036319594314,18945.37275904284
13609.772468569674,13412.349938781372,13337.66645163486,13827.627402935654,18661.313512155717,21449.96812564737,22333.88250941217,18851.76535281669
13617.19498859558,13405.517880922194,13325.212566641614,13820.984713903401,18536.661612520686,21400.515143508874,22312.963396667128,18848.58417399733
13579.42631168174,13357.42887687291,13304.787684422148,13787.166770796597,18618.02061751006,21361.460385201834,22237.98355079517,18843.40998832179
13566.232072507175,13353.09854960546,13293.048363624868,13795.27782617709,18472.958439117254,21336.166829379275,22344.258495435588,18701.34152158221
13563.884613191516,13367.652552484013,13311.644411275396,13799.365008257753,18595.596654386864,21386.119326296943,22246.124938897592,18877.45263894747
13588.559017508038,13374.246749898935,13304.04051303985,13810.08145067779,18562.248544458897,21412.620928755954,22295.676425822792,18762.85740745005
13591.577985473788,13371.861222263948,13303.993012136774,13801.452045472875,18651.951669071506,21333.064807251623,22348.65250994438,18788.377978078406
13556.96712604803,13362.453608447537,13280.381938115162,13788.06383561013,18495.591886294744,21344.254082819596,22311.447204510576,18846.447349304544
13554.146596170798,13345.489775119366,13294.96409050663,13790.803624172571,18572.482558750784,21377.491422639076,22272.57174898709,18818.934463551304
13560.192601559975,13325.832607411983,13294.973856196686,13805.537909161003,18664.570732977452,21335.369195059433,22328.607251459573,18746.262113862216
13530.41306805556,13327.099608973183,13253.965781797368,13776.396112253673,18583.987447874057,21342.92040589038,22195.328019646142,18692.313553585875
13541.026853388661,13325.981658841469,13284.933588682952,13773.697486715135,18510.28033973409,21411.457683108307,22376.68943317156,18711.567371930505
13525.357496528142,13313.363510768593,13265.116361062235,13788.469670306042,18482.962115963026,21328.41403747042,22255.651452737482,18716.491656970455
13539.330067795869,13315.255599289756,13304.359374504218,13789.271250507747,18497.20223803251,21338.55356680617,22192.399930790063,18862.06537934907
13590.414736586865,13363.50025940759,13325.734368204186,13853.256051654262,18605.116480784887,21414.637705247933,22427.33707071992,18890.849274192176
13568.667111882118,13349.44106913515,13343.724997136325,13829.651919880971,18609.902732117967,21385.09109941371,22399.18119182401,18792.08323525042
13575.618752517506,13361.38136480273,13348.08737850387,13835.153585920152,18589.768375396856,21296.850044726292,22231.796904687362,18738.7054503217
13584.720256629083,13357.570850943646,13349.300716265974,13826.598749625648,18560.236650660405,21371.822825488587,22305.389744105265,18922.65247769074
13568.291025158915,13348.695677424406,13318.539306770475,13825.116595313659,18581.570964589217,21336.66870710431,22431.09673454054,18748.45872595745
13568.220277243761,13361.313025971449,13347.527646235598,13841.82148946689,18511.286788576017,21305.071539168086,22323.567272975004,18868.956335786614
13553.241750013136,13335.411736247892,13307.657794363338,13842.9292553753,18570.95574438327,21467.50342433902,22332.7487062253,18918.832241198274
13546.74244779214,13311.255777889683,13316.20387106107,13826.731664517361,18506.149923580466,21320.7302351986,22310.77605579678,18944.466558401364
13555.357428579322,13342.200029691967,13354.32581650566,13827.526142075321,18638.446757715275,21330.396123149705,22376.10753429825,18848.47817745123
13537.447109920313,13314.888493397932,13327.107581740716,13831.77423530031,18635.694524071827,21230.520193535554,22365.485106986023,18862.399709972302
13550.557631642776,13341.315558422906,13360.780830980022,13833.79966464023,18496.71018435994,21377.499401290424,22338.857393105307,18881.846741489127
13550.368723801666,13335.23109903094,13327.493734484691,13823.175200738911,18582.65112948078,21294.58484010019,22266.155207226657,18882.504401034017
13564.527796298544,13343.272204614546,13343.37641170189,13828.912613196273,18544.15878865303,21336.170814651752,22292.39695386481,18813.53271461364
13541.03723142481,13330.160619819846,13346.731793318038,13858.024315888599,18532.4514960316,21454.47046828226,22337.080210218857,18854.602897865418
13566.341230064756,13339.722825201487,13344.131643811605,13860.960719430794,18497.470384660326,21334.589331076295,22292.79979586262,18787.28899891244
13531.865840345958,13330.043678909196,13355.667284623238,13851.96744782714,18523.44807039312,21369.25404309121,22340.96277981552,18779.092136985728
13521.14748484273,13307.729448356573,13344.161180587887,13855.674695926333,18465.889786752006,21419.17588003697,22424.9842596876,18889.1822747394
13538.599095312822,13324.034783132991,13329.020357421186,13835.845396808985,18562.87106457367,21314.667588030814,22375.583165559943,18804.047179365025
13532.979302216967,13294.86156354824,13328.883449778645,13828.755573023482,18561.601103089935,21237.531160633065,22333.921869701895,18811.976967420538
13518.581397703643,13271.224230242047,13340.28633226133,13821.202542412862,18474.587395447645,21309.424203122187,22342.274527310026,18835.836057285283
13506.367768304232,13279.982772248433,13314.318578140314,13813.962652994524,18551.10500948247,21226.796976133144,22264.928740393403,18926.416825808432
13514.93333096896,13279.946352097204,13327.688676889069,13849.10127041583,18493.639911953927,21335.5290924265,22261.058905241072,18857.915934502893
13518.840439025229,13287.962583077096,13322.58314712576,13826.667342194363,18456.413669827965,21279.307506190387,22335.530643093127,18749.36822419225
13500.494476193779,13275.956548874676,13317.941014844775,13829.186714909065,18512.99322778124,21355.630401309183,22334.38624709261,18825.74837242147
13492.969886523102,13293.334544416979,13327.803494651655,13815.959493000833,18499.27845837934,21346.52012926976,22398.168681406245,18820.06936857011
13501.6331278093,13278.509563220712,13355.970498211464,13841.7618805112,18400.694709433366,21297.331973241686,22298.569731936626,18756.239718270073
13489.08683181459,13280.794556567715,13354.570408164815,13839.880283554963,18462.51661709808,21347.162100972473,22435.01239533923,18902.984311857363
13490.851876103008,13284.365955061365,13342.358527640165,13834.352197643579,18447.12743160988,21335.04220063981,22407.90322808323,18869.37382716893
13506.908283725375,13266.152232714827,13338.67876399743,13825.387448746365,18497.234938249752,21250.36311768241,22392.632517676473,18768.629082137282
13502.60654723361,13297.279358030233,13346.832880849199,13828.98388714424,18568.250912802378,21182.35912567638,22336.619293877156,18786.218208333637
13473.203170522822,13257.892927198658,13333.811506362803,13816.059850094975,18468.75386348726,21185.01984375847,22306.33343627158,18821.47035906258
13472.63944380614,13253.56781502127,13358.07990091525,13816.932812784296,18480.650470343106,21265.151955472516,22329.408086365256,18861.067613534917
13459.303180594625,13242.596442791873,13324.558426801903,13810.385750095018,18484.28559073336,21307.70463802412,22215.16671368303,18797.096348560623
13465.507929007566,13255.156454324966,13333.873031795074,13804.559319353959,18510.047427474,21168.445997902465,22350.865848825084,18852.084112737553
13482.686674258777,13260.254243148667,13364.903525831292,13841.066563059474,18478.422713040974,21226.829129958125,22354.778101766908,18738.981765621098
13468.295977828144,13265.803550457,13351.800028125677,13811.043585809493,18440.653478871223,21239.99346812224,22312.467401687376,18823.164718693086
13459.71921854288,13231.772610105332,13321.266219819036,13797.238465201379,18448.99644946512,21312.751947128498,22293.468627623086,18796.859327366274
13443.434726844818,13211.075297834743,13327.91890632571,13787.11306077001,18441.519304394726,21273.699255652726,22183.240764365677,18804.184891298366
13453.189607114498,13228.367970444935,13343.582850225775,13797.977565386114,18457.112177307583,21324.631786927777,22338.10453942241,18826.62237129336
13445.842614373321,13249.86616243109,13346.484197180918,13803.61713833853,18408.395172353874,21252.711073469756,22361.280250862714,18830.379575812196
13457.85231989491,13255.085452292904,13349.635203707496,13819.335290729063,18453.425391978588,21247.20714551791,22344.99743515972,18726.181688247456
13469.69556444248,13251.231683489757,13350.19899926084,13800.10958313867,18410.04052423534,21230.78607310032,22428.872703138673,18847.18819818831
13457.644329995668,13231.934203353383,13374.289250420497,13820.123455342435,18505.60403556802,21136.300909543654,22435.9989690563,18808.10778863396
13442.887184758527,13227.655468336661,13344.159679171247,13815.379281350873,18447.93392088133,21186.084811857578,22406.4751339163,18749.609210369577
13438.589890573972,13225.314380724012,13349.450324794525,13803.7889686791,18430.973784556543,21106.314755843083,22337.025965520428,18872.91928134791
13416.670084079822,13215.965525353107,13351.339015379092,13801.14081489574,18373.381088869806,21170.981648217905,22382.37469525098,18815.813208433738
13428.655908094186,13182.50799361684,13355.551870274025,13782.16209450342,18481.138069060602,21167.669837597452,22315.17787871136,18803.077806544265
