x,y
0.0,0.0
-3.2817175226345565,-8.729686221561705
7.372358770612228,-29.74507319036453
26.820476412777026,-35.35714219931556
32.01086737334801,-35.850845954089664
48.631946743797755,-54.4522530490662
47.40777470366268,-56.29279659575036
60.74546912701706,-65.29170926889067
61.021187051512705,-72.0702934481044
63.44332451866863,-64.24214131094617
54.43713274653942,-50.79490421255002
65.45303995246738,-43.76996082353134
76.46159944511149,-48.60723941527468
77.232697189925,-55.96493375786537
76.55381639366485,-48.66137909048351
71.63720887641176,-50.62891435904328
66.76548187521577,-57.080970774030476
62.05302056684758,-55.20761676321949
52.8799170804948,-50.86345978504857
71.4779388515935,-41.443018179275214
71.55958332797736,-48.319307820123576
66.08800039046899,-29.39476180984611
68.59607793822929,-33.76471827553964
72.50523278490394,-10.762166910751219
75.70682230972022,-2.590135813677027
80.7085255092785,-4.112634278612214
71.2833435290571,-5.606061502740989
71.19440119530933,2.2601704090809873
81.58423533405437,13.57119122211656
86.44010858659696,24.42260286482384
80.89612917663044,38.95128441715672
88.02542738081053,37.97035606612956
94.9106088461855,39.214638935919005
108.22690272069977,56.412807100140995
132.08265678603138,44.44784374525962
119.64151873173549,41.403185115795104
123.24188942621379,52.16487432695735
128.39823889862984,33.942862168717326
127.33619877234612,44.22260859478979
131.63714612598994,53.842720397910036
131.41386469988635,53.83513970861006
135.2794786097692,59.93565618069262
139.2624758110369,63.12574263876721
134.5558529481466,68.9013805019764
137.77406565806098,82.1962195810956
151.76324445707604,86.04778375593504
150.0103949561749,81.66047968139281
156.24533849681603,84.4338803648784
154.8068017411053,86.86984893322088
150.606793301624,95.85016927394307
148.13550765376402,110.09524632199805
154.17042407167202,118.03103155436872
145.2213056142616,121.7248558849554
154.62687012522434,114.18784986687606
153.96468506518812,116.51399533380965
142.23351186272058,121.66558925423256
152.69511833857092,115.0704298459127
158.200578125212,103.94759573353838
159.81362303255148,89.78987218650543
173.0278001149081,95.87887756587371
174.78163055615033,90.12726137418211
189.5191898577381,111.79827886672946
172.9393712132706,126.15991917125767
191.21587874475966,131.54003613700243
181.2231984214078,142.17348931244265
181.4139954006263,138.13428303451008
171.11341404395668,145.63965799427223
181.04148270315017,141.4043506974743
188.24724607388387,131.9609368012429
198.26585639259733,134.42660978548435
198.40015867352383,135.4091510601929
209.08902024358252,144.91326745884297
216.3836734871096,148.29027955881682
219.16188476623665,156.47408217880206
223.48683035802404,165.2995962474469
222.38566262284343,142.95121860637553
234.77390864143757,166.8210150761181
241.1875530771234,167.8194627432831
241.82310563816307,168.628920865535
243.99719972116313,159.40873357806612
240.82625514196084,151.4384653015635
245.31424675583855,150.47205377785488
252.26635999561816,150.72502218042987
264.12971187383056,154.86036119378429
288.0367091635279,137.89675196487337
283.56754228097884,148.91162088136048
310.8507993490428,148.42527310420587
313.2874892808267,148.16213067906983
328.60206040670266,147.28905204430964
337.4027588054837,146.09103605532292
326.67717125302374,151.22651325995724
333.709019387377,166.15877208527985
334.6045491232038,161.98515144815624
342.2321600893941,166.39252237053356
347.03881086062046,167.66139533306077
360.64219656055815,173.356322496818
381.68878364396795,186.46688948242303
390.27928160497004,172.19250607626046
398.30247440792635,178.39532811273105
408.4119911359619,190.83974905980364
406.4032092180726,201.07980524430772
402.7801549078817,222.62858599439807
391.4606382427092,207.02170039041022
376.95342558446816,200.11614454877974
367.7622715988709,221.67693358581616
366.497276618089,210.2501756920418
379.6411063858869,206.3849363038259
369.27257262047294,217.1433255803189
377.50619438625324,214.7937587507666
393.5815943886655,218.08477454787388
411.7510903772385,225.11218336787292
429.33914578343706,228.2062103321272
419.1417018136467,254.69989682274118
415.683960133821,254.71151819385219
410.6799750846085,254.67757370420657
415.10666949542644,258.6958754929466
423.7168723714134,278.61745758270223
424.51222665352833,268.286250228238
